样品	Abs260 	Abs280 	260/280 	DNA浓度(ng/ul)
1	8.45	6	1.42	493.64
2	8.82	6.05	1.45	469.76
3	6.99	5.49	1.28	383.33
4	12.13	9.38	1.3	606.38
5	12.78	10	1.29	639.13
6	14.75	10.94	1.36	666.90
7	5.14	3.73	1.37	257.10
8	4.52	2.95	1.51	225.95
9	4.74	3.17	1.5	236.80
10	4.88	3.29	1.48	430.48
11	2.6	1.61	1.61	129.75
12	3.74	3.28	1.14	167.08
13	4.46	3.2	1.4	222.93
14	4	2.69	1.49	199.88
15	4.99	4.51	1.11	249.58
16	8.5	6.6	1.29	474.95
17	4.64	3.78	1.23	247.90
18	2.95	2.23	1.33	130.00
19	4.62	3.44	1.35	231.18
20	7.79	5.81	1.33	389.25
21	9.09	6.81	1.34	454.43
22	10.24	7.2	1.42	483.35
23	11.29	8.15	1.39	564.28
24	7.38	5.16	1.43	368.40
25	7.25	5.02	1.45	362.60
26	7.63	5.29	1.45	381.70
27	11.75	7.54	1.55	342.90
28	4.4	2.97	1.49	219.85
29	11.77	8.36	1.42	434.33
30	3.26	2.73	1.18	776.85
31	4.11	2.91	1.44	162.95
32	2.65	1.92	1.44	266.95
33	5.43	3.7	1.47	186.50
34	5.43	3.7	1.47	389.65
35	9.9	6.79	1.42	492.65
36	2.92	2.06	1.41	145.85
37	13.46	9.79	1.39	673.00
38	2.99	2.16	1.39	149.30
39	2.69	1.85	1.46	134.65
